Year,Team,Player,Pos,Salary,TotalFPTS,ActiveFPTS,PtsPerDollar
2021,Rock Stars,Matthew Stafford,QB,1,285,98,285
2023,Masters of Disaster,Dak Prescott,QB,1,272,207,272
2023,Leeds United,Jared Goff,QB,1,252,14,252
2022,Munich Cowboys,Trevor Lawrence,QB,1,243,25,243
2021,Munich Cowboys,Jalen Hurts,QB,1,202,202,202
2021,Generals,Kirk Cousins,QB,1,201,11,201
2022,Leeds United,Tua Tagovailoa,QB,1,178,131,178
2023,Rock Stars,Derek Carr,QB,1,172,0,172
2021,Kentucky Football Club,Derek Carr,QB,1,171,14,171
2023,LA Losers,Brandon Aubrey,K,1,171,113,171
2022,Kentucky Football Club,Derek Carr,QB,1,168,15,168
2023,LA Losers,Raheem Mostert,RB,1,165,123,165
2021,Munich Cowboys,Matt Gay,K,1,155,49,155
2021,LA Losers,Matt Ryan,QB,1,149,59,149
2022,Munich Cowboys,Daniel Carlson,K,1,148,66,148
2023,Leeds United,Jake Elliott,K,1,145,85,145
2022,Donora Dragons,Jamaal Williams,RB,1,144,49,144
2021,Masters of Disaster,Joe Burrow,QB,2,285,86,142.5
2021,Masters of Disaster,Justin Tucker,K,1,136,143,136
2022,Leeds United,Younghoe Koo,K,1,136,27,136
2023,Munich Cowboys,Cameron Dicker,K,1,135,49,135
2021,Egyptian Magicians,Greg Zuerlein,K,1,131,16,131
2021,Egyptian Magicians,James Conner,RB,1,130,79,130
2023,Rock Stars,Brandon McManus,K,1,130,7,130
2021,Leeds United,Tyler Bass,K,1,128,137,128
