Year,Pos,Players,TotalSpend,PctOfLeagueCap,SpendPerTeam,AvgPrice,MedianPrice,MaxPrice,MinPriceBuys
2021,RB,46,1365,45.7,136.5,29.7,17.5,101,12
2021,WR,59,1071,35.9,107.1,18.2,8,88,12
2021,QB,19,309,10.3,30.9,16.3,13,53,8
2021,TE,15,209,7,20.9,13.9,4,68,6
2021,K,11,18,0.6,1.8,1.6,1,5,9
2021,DST,10,14,0.5,1.4,1.4,1,3,9
2022,RB,47,1243,42,124.3,26.4,14,98,9
2022,WR,58,1226,41.4,122.6,21.1,17,77,9
2022,QB,20,283,9.6,28.3,14.2,8.5,59,8
2022,TE,15,178,6,17.8,11.9,3,52,7
2022,K,10,18,0.6,1.8,1.8,1.5,5,9
2022,DST,10,15,0.5,1.5,1.5,1.5,2,10
2023,RB,47,1097,36.6,109.7,23.3,11,88,8
2023,WR,59,1243,41.5,124.3,21.1,9,84,14
2023,QB,19,382,12.7,38.2,20.1,5,76,7
2023,TE,14,232,7.7,23.2,16.6,7.5,80,4
2023,K,11,28,0.9,2.8,2.5,1,12,8
2023,DST,10,16,0.5,1.6,1.6,1.5,3,9
2024,RB,47,1193,40.1,119.3,25.4,12,95,14
2024,WR,59,1166,39.2,116.6,19.8,10,82,17
2024,QB,19,391,13.2,39.1,20.6,10,72,5
2024,TE,15,189,6.4,18.9,12.6,2,44,8
2024,K,10,20,0.7,2,2,2,5,8
2024,DST,10,14,0.5,1.4,1.4,1,3,9
2025,RB,47,1286,43.1,128.6,27.4,17,95,16
2025,WR,56,1117,37.4,111.7,19.9,11,88,18
2025,QB,21,417,14,41.7,19.9,4,77,8
2025,TE,15,133,4.5,13.3,8.9,3,40,7
2025,K,10,13,0.4,1.3,1.3,1,4,9
2025,DST,11,17,0.6,1.7,1.5,1,4,10
