Pos,PriceTier,Players,AvgPrice,AvgTotalFPTS,MinBidBaselineFPTS,ExtraPoints,ExtraDollars,ExtraPointsPerExtraDollar
K,$3-9,5,4,135.8,123.4,12.4,2.8,4.47
QB,$10-24,11,18.6,228.5,156.6,71.9,17.4,4.13
WR,$3-9,48,5.3,51.9,37.5,14.4,4.1,3.51
RB,$3-9,33,5.6,61.4,46.3,15.1,4.3,3.47
TE,$3-9,10,5.5,53.7,40.5,13.2,4.2,3.13
QB,$50-69,5,57.8,280,156.6,123.4,56.6,2.18
WR,$10-24,39,16.1,66.8,37.5,29.2,14.9,1.96
TE,$50-69,3,56.7,112.7,40.5,72.1,55.4,1.3
WR,$25-49,27,33,76.8,37.5,39.3,31.8,1.23
WR,$50-69,18,56.3,100.3,37.5,62.7,55.1,1.14
RB,$25-49,22,36.1,83,46.3,36.6,34.8,1.05
QB,$25-49,9,35.7,191.2,156.6,34.6,34.4,1
WR,$70+,9,78.6,108.4,37.5,70.9,77.3,0.92
RB,$50-69,14,58.3,97.2,46.3,50.9,57,0.89
TE,$10-24,8,15.4,52.9,40.5,12.3,14.1,0.88
RB,$70+,18,82.5,114.8,46.3,68.5,81.3,0.84
RB,$10-24,24,16.3,55.3,46.3,8.9,15,0.6
TE,$25-49,5,33.8,42.4,40.5,1.9,32.5,0.06
QB,$3-9,9,6.1,135.6,156.6,-21.1,4.9,-4.3
