Year,Pos,Players,Spend,AvgPrice,TotalFPTS,AvgTotalFPTS,ActiveFPTS,AvgActiveFPTS,TotalPtsPerDollar,ActivePtsPerDollar,PctOfPtsCaptured,Corr_Price_vs_Points
2021,RB,46,1365,29.7,3105,67.5,1923,41.8,2.27,1.41,61.9,0.49
2021,WR,59,1071,18.2,3613,61.2,1957,33.2,3.37,1.83,54.2,0.38
2021,QB,19,309,16.3,3792,199.6,2360,124.2,12.27,7.64,62.2,0.4
2021,TE,15,209,13.9,727,48.5,364,24.3,3.48,1.74,50.1,0.56
2021,K,11,18,1.6,1264,114.9,673,61.2,70.22,37.39,53.2,-0.54
2021,DST,10,14,1.4,835,83.5,189,18.9,59.64,13.5,22.6,0.21
2022,RB,47,1243,26.4,3588,76.3,1873,39.9,2.89,1.51,52.2,0.51
2022,WR,58,1226,21.1,3790,65.3,2130,36.7,3.09,1.74,56.2,0.64
2022,QB,20,283,14.2,3683,184.2,1693,84.7,13.01,5.98,46,0.59
2022,TE,15,178,11.9,868,57.9,497,33.1,4.88,2.79,57.3,0.55
2022,K,10,18,1.8,1194,119.4,657,65.7,66.33,36.5,55,0.44
2022,DST,10,15,1.5,891,89.1,277,27.7,59.4,18.47,31.1,0.18
2023,RB,47,1097,23.3,3254,69.2,1745,37.1,2.97,1.59,53.6,0.38
2023,WR,59,1243,21.1,3863,65.5,2321,39.3,3.11,1.87,60.1,0.58
2023,QB,19,382,20.1,3326,175.1,1841,96.9,8.71,4.82,55.4,0.55
2023,TE,14,232,16.6,699,49.9,332,23.7,3.01,1.43,47.5,0.55
2023,K,11,28,2.5,1541,140.1,534,48.5,55.04,19.07,34.7,-0.26
2023,DST,10,16,1.6,1007,100.7,318,31.8,62.94,19.88,31.6,0.28
ALL,RB,140,3705,26.5,9947,71,5541,39.6,2.68,1.5,55.7,0.45
ALL,WR,176,3540,20.1,11266,64,6408,36.4,3.18,1.81,56.9,0.53
ALL,QB,58,974,16.8,10801,186.2,5894,101.6,11.09,6.05,54.6,0.5
ALL,TE,44,619,14.1,2294,52.1,1193,27.1,3.71,1.93,52,0.52
ALL,K,32,64,2,3999,125,1864,58.3,62.48,29.13,46.6,-0.04
ALL,DST,30,45,1.5,2733,91.1,784,26.1,60.73,17.42,28.7,0.26
