Year,Pos,StarterSlots,PlayersDrafted,ReplacementFPTS,AvgStarterFPTS,PointsAboveReplacement,StarterSpend,PARPerDollar,AvgStarterPrice,ReplacementLevelMeaningful
2021,RB,20,46,74,110.3,727,942,0.77,47.1,yes
2021,WR,30,59,59,92.3,998,799,1.25,26.6,yes
2021,QB,10,19,200,253.5,535,191,2.8,19.1,yes
2021,TE,10,15,35,62.1,271,150,1.81,15,yes
2021,K,10,11,40,122.4,824,13,,1.3,no (draft pool ~= starter slots)
2021,DST,10,10,62,83.5,215,14,,1.4,no (draft pool ~= starter slots)
2022,RB,20,47,71,118,941,800,1.18,40,yes
2022,WR,30,58,57,92.4,1063,938,1.13,31.3,yes
2022,QB,10,20,174,254.8,808,205,3.94,20.5,yes
2022,TE,10,15,38,72.1,341,134,2.54,13.4,yes
2022,K,10,10,17,119.4,1024,18,,1.8,no (draft pool ~= starter slots)
2022,DST,10,10,68,89.1,211,15,,1.5,no (draft pool ~= starter slots)
2023,RB,20,47,77,115.3,765,632,1.21,31.6,yes
2023,WR,30,59,62,96.1,1022,950,1.08,31.7,yes
2023,QB,10,19,157,248.6,916,277,3.31,27.7,yes
2023,TE,10,14,33,59.9,269,193,1.39,19.3,yes
2023,K,10,11,111,143,320,16,,1.6,no (draft pool ~= starter slots)
2023,DST,10,10,59,100.7,417,16,,1.6,no (draft pool ~= starter slots)
