Pos,PriceTier,Players,AvgPrice,AvgTotalFPTS,MedianTotalFPTS,PtsPerDollar,AvgActiveFPTS,HitRatePct
RB,$1-2 (min bid),29,1.2,46.3,35,37.31,14.7,93.1
RB,$3-9,33,5.6,61.4,61,11.01,22.7,90.9
RB,$10-24,24,16.3,55.3,45,3.4,27.3,50
RB,$25-49,22,36.1,83,76.5,2.3,47.8,36.4
RB,$50-69,14,58.3,97.2,100.5,1.67,76,7.1
RB,$70+,18,82.5,114.8,105,1.39,88.7,11.1
WR,$1-2 (min bid),35,1.2,37.5,32,30.56,9.9,91.4
WR,$3-9,48,5.3,51.9,43,9.74,17,93.8
WR,$10-24,39,16.1,66.8,62,4.15,34.7,59
WR,$25-49,27,33,76.8,81,2.33,57.3,22.2
WR,$50-69,18,56.3,100.3,95.5,1.78,80.1,0
WR,$70+,9,78.6,108.4,112,1.38,99.9,0
QB,$1-2 (min bid),23,1.2,156.6,168,128.64,41.7,95.7
QB,$3-9,9,6.1,135.6,151,22.18,45.6,77.8
QB,$10-24,11,18.6,228.5,234,12.26,156.8,54.5
QB,$25-49,9,35.7,191.2,161,5.36,136,0
QB,$50-69,5,57.8,280,276,4.84,258.8,0
QB,$70+,1,76,344,344,4.53,282,0
TE,$1-2 (min bid),17,1.3,40.5,42,31.32,11.4,94.1
TE,$3-9,10,5.5,53.7,52,9.76,20.2,100
TE,$10-24,8,15.4,52.9,43,3.44,33.5,37.5
TE,$25-49,5,33.8,42.4,35,1.25,36.4,0
TE,$50-69,3,56.7,112.7,113,1.99,94.7,0
TE,$70+,1,80,95,95,1.19,64,0
K,$1-2 (min bid),26,1.2,123.4,127.5,100.28,56.3,92.3
K,$3-9,5,4,135.8,156,33.95,79.2,0
K,$10-24,1,12,111,111,9.25,5,0
DST,$1-2 (min bid),28,1.4,89.6,84,64.33,27.3,67.9
DST,$3-9,2,3,112,112,37.33,9.5,0
