Year,Group,Players,AvgPrice,AvgTotalFPTS,AvgActiveFPTS,PtsPerDollar
2021,#1-10 most expensive,10,83,111.7,100.2,1.35
2021,#11-20 most expensive,10,55.9,121,103,2.16
2021,#21-30 most expensive,10,44.7,100.9,86.9,2.26
2021,#31-50 most expensive,20,30.1,83.8,69.3,2.79
2021,#51-100 most expensive,50,9.4,73.7,29.9,7.84
2021,#101-160 most expensive,60,1.3,77.3,28,59.45
2022,#1-10 most expensive,10,75.9,118.3,91.3,1.56
2022,#11-20 most expensive,10,55.2,135.6,102.6,2.46
2022,#21-30 most expensive,10,44,114.3,59,2.6
2022,#31-50 most expensive,20,28.1,97.3,60.9,3.46
2022,#51-100 most expensive,50,11.1,75,40.5,6.77
2022,#101-160 most expensive,60,1.6,77.3,22.6,48.81
2023,#1-10 most expensive,10,80.9,130.2,105.1,1.61
2023,#11-20 most expensive,10,65.9,132.2,118.9,2.01
2023,#21-30 most expensive,10,47.7,97.6,72.9,2.05
2023,#31-50 most expensive,20,25.8,91.3,62.7,3.54
2023,#51-100 most expensive,50,8.9,70.4,27.9,7.95
2023,#101-160 most expensive,60,1.6,79,24.6,49.93
