Team,Seasons,RB_AvgSpend,RB_PctOfCap,WR_AvgSpend,WR_PctOfCap,QB_AvgSpend,QB_PctOfCap,TE_AvgSpend,TE_PctOfCap,K_AvgSpend,K_PctOfCap,DST_AvgSpend,DST_PctOfCap,AvgPointsFor,AvgW,AvgL
Generals,5,119.4,39.8,84.6,28.2,64.6,21.5,21.8,7.3,2.6,0.9,2,0.7,1083.2,10.8,5
Munich Cowboys,5,126.4,42.1,136.6,45.5,14.4,4.8,18,6,1.2,0.4,1.6,0.5,1049.6,10,5.8
Kentucky Football Club,5,133.8,44.6,86.8,28.9,47.8,15.9,26.2,8.7,2.2,0.7,1.6,0.5,991.8,8.2,8.2
Homers Heroes,5,146.8,48.9,104.2,34.7,33.8,11.3,8.2,2.7,1.2,0.4,1.2,0.4,975.6,8.4,7.8
Masters of Disaster,5,88,29.3,130,43.3,30.8,10.3,46.6,15.5,2,0.7,1.4,0.5,974.8,7.2,9.2
LA Losers,5,137.6,45.9,116.8,38.9,36.4,12.1,2.2,0.7,2.4,0.8,1,0.3,974,8.6,7.2
Egyptian Magicians,5,101.4,33.8,147.8,49.3,19.2,6.4,26,8.7,3.4,1.1,1.2,0.4,961.4,7.2,9
Leeds United,5,118.6,39.5,143.8,47.9,25.8,8.6,8.8,2.9,1,0.3,1.8,0.6,960.6,6.4,9.8
Rock Stars,5,128.8,42.9,108.4,36.1,32.6,10.9,26.6,8.9,1.4,0.5,1.8,0.6,948.4,7.2,9
Donora Dragons,3,135.7,45.2,112.3,37.4,47,15.7,2,0.7,1.3,0.4,1.7,0.6,918.7,7.3,8.7
Relegators,2,136.5,45.5,95.5,31.8,57,19,6.5,2.2,3,1,1.5,0.5,859,5,10.5
