Year,Team,Spend,DraftedTotalFPTS,DraftedActiveFPTS,RegSeasonPointsFor,AllWeeksPoints,PctOfTeamPtsFromDraft,ActivePtsPerDollar,W,L,Pct
2021,Donora Dragons,300,1430,817,943,943,86.6,2.72,7,10,0.412
2021,Egyptian Magicians,300,1253,706,1100,1100,64.2,2.35,9,8,0.529
2021,Generals,300,1344,579,1038,1038,55.8,1.93,8,9,0.471
2021,Homers Heroes,300,1294,710,1033,1103,64.4,2.37,10,6,0.618
2021,Kentucky Football Club,300,1459,584,1174,1174,49.7,1.95,8,9,0.471
2021,LA Losers,294,1342,743,918,918,80.9,2.53,6,10,0.382
2021,Leeds United,299,1255,799,1059,1059,75.4,2.67,6,11,0.353
2021,Masters of Disaster,294,1192,799,987,987,81,2.72,9,8,0.529
2021,Munich Cowboys,300,1163,656,1020,1100,59.6,2.19,12,5,0.706
2021,Rock Stars,299,1604,1073,1127,1127,95.2,3.59,9,8,0.529
2022,Donora Dragons,300,1353,592,932,932,63.5,1.97,7,9,0.441
2022,Egyptian Magicians,300,998,478,857,857,55.8,1.59,5,12,0.294
2022,Generals,280,1544,1019,1066,1119,91.1,3.64,9,6,0.588
2022,Homers Heroes,291,1194,711,970,970,73.3,2.44,9,8,0.529
2022,Kentucky Football Club,293,1596,949,1036,1036,91.6,3.24,11,6,0.647
2022,LA Losers,300,1451,517,1033,1033,50,1.72,11,6,0.647
2022,Leeds United,300,1375,482,1028,1028,46.9,1.61,7,10,0.412
2022,Masters of Disaster,300,1664,906,1047,1047,86.5,3.02,6,11,0.353
2022,Munich Cowboys,300,1493,688,1059,1122,61.3,2.29,12,4,0.735
2022,Rock Stars,299,1346,785,902,902,87,2.63,6,11,0.353
2023,Donora Dragons,300,1369,749,881,929,80.6,2.5,8,7,0.531
2023,Egyptian Magicians,300,1395,735,1011,1052,69.9,2.45,11,4,0.719
2023,Generals,300,1602,808,1167,1205,67.1,2.69,12,4,0.75
2023,Homers Heroes,299,909,357,859,922,38.7,1.19,6,10,0.375
2023,Kentucky Football Club,299,1293,757,855,937,80.8,2.53,5,11,0.312
2023,LA Losers,300,1631,1075,1068,1120,96,3.58,11,5,0.688
2023,Leeds United,300,1629,736,910,971,75.8,2.45,8,8,0.5
2023,Masters of Disaster,300,1121,552,890,934,59.1,1.84,5,11,0.312
2023,Munich Cowboys,300,1404,695,948,1048,66.3,2.32,8,8,0.5
2023,Rock Stars,300,1337,627,870,930,67.4,2.09,5,11,0.312
