Team,Seasons,Spend,DraftedTotalFPTS,DraftedActiveFPTS,TotalPtsPerDollar,ActivePtsPerDollar,AvgPctOfPtsFromDraft,AvgPointsFor,AvgW
Rock Stars,3,898,4287,2485,4.77,2.77,83.2,966.3,6.7
Generals,3,880,4490,2406,5.1,2.73,71.3,1090.3,9.7
LA Losers,3,894,4424,2335,4.95,2.61,75.7,1006.3,9.3
Kentucky Football Club,3,892,4348,2290,4.87,2.57,74,1021.7,8
Masters of Disaster,3,894,3977,2257,4.45,2.52,75.5,974.7,6.7
Donora Dragons,3,900,4152,2158,4.61,2.4,76.9,918.7,7.3
Munich Cowboys,3,900,4060,2039,4.51,2.27,62.4,1009,10.7
Leeds United,3,899,4259,2017,4.74,2.24,66,999,7
Egyptian Magicians,3,900,3646,1919,4.05,2.13,63.3,989.3,8.3
Homers Heroes,3,890,3397,1778,3.82,2,58.8,954,8.3
