Year,Team,TotalSpend,Unspent,RB_Spend,RB_Count,WR_Spend,WR_Count,QB_Spend,QB_Count,TE_Spend,TE_Count,K_Spend,K_Count,DST_Spend,DST_Count,PointsFor,W,L,Pct
2021,Donora Dragons,300,0,177,5,75,6,41,2,4,1,1,1,2,1,943,7,10,0.412
2021,Egyptian Magicians,300,0,120,4,98,8,42,1,38,1,1,1,1,1,1100,9,8,0.529
2021,Generals,300,0,137,6,95,5,53,2,10,1,4,1,1,1,1038,8,9,0.471
2021,Homers Heroes,300,0,145,3,97,7,54,2,2,2,1,1,1,1,1033,10,6,0.618
2021,Kentucky Football Club,300,0,158,5,104,5,25,2,9,2,1,1,3,1,1174,8,9,0.471
2021,LA Losers,294,6,134,4,149,5,2,2,2,2,6,2,1,1,918,6,10,0.382
2021,Leeds United,299,1,120,4,137,6,35,2,5,2,1,1,1,1,1059,6,11,0.353
2021,Masters of Disaster,294,6,94,5,93,6,37,2,68,1,1,1,1,1,987,9,8,0.529
2021,Munich Cowboys,300,0,140,5,121,5,6,2,31,2,1,1,1,1,1020,12,5,0.706
2021,Rock Stars,299,1,140,5,102,6,14,2,40,1,1,1,2,1,1127,9,8,0.529
2022,Donora Dragons,300,0,128,6,130,5,39,2,1,1,1,1,1,1,932,7,9,0.441
2022,Egyptian Magicians,300,0,129,4,146,8,9,1,13,1,2,1,1,1,857,5,12,0.294
2022,Generals,280,20,115,4,92,8,59,1,10,1,2,1,2,1,1066,9,6,0.588
2022,Homers Heroes,291,9,190,5,66,6,27,2,6,1,1,1,1,1,970,9,8,0.529
2022,Kentucky Football Club,293,7,98,4,97,5,37,3,54,2,5,1,2,1,1036,11,6,0.647
2022,LA Losers,300,0,137,4,116,6,43,2,2,2,1,1,1,1,1033,11,6,0.647
2022,Leeds United,300,0,120,4,158,5,17,3,2,2,1,1,2,1,1028,7,10,0.412
2022,Masters of Disaster,300,0,86,5,180,5,18,2,12,2,2,1,2,1,1047,6,11,0.353
2022,Munich Cowboys,300,0,117,6,144,5,10,2,26,1,1,1,2,1,1059,12,4,0.735
2022,Rock Stars,299,1,123,5,97,5,24,2,52,2,2,1,1,1,902,6,11,0.353
2023,Donora Dragons,300,0,102,6,132,5,61,2,1,1,2,1,2,1,881,8,7,0.531
2023,Egyptian Magicians,300,0,75,6,171,6,16,1,24,1,12,1,2,1,1011,11,4,0.719
2023,Generals,300,0,63,4,131,6,79,2,22,2,3,1,2,1,1167,12,4,0.75
2023,Homers Heroes,299,1,110,4,125,7,33,2,29,1,1,1,1,1,859,6,10,0.375
2023,Kentucky Football Club,299,1,174,5,54,5,51,2,16,2,3,1,1,1,855,5,11,0.312
2023,LA Losers,300,0,147,4,81,7,65,1,3,1,3,2,1,1,1068,11,5,0.688
2023,Leeds United,300,0,144,3,131,7,15,3,6,1,1,1,3,1,910,8,8,0.5
2023,Masters of Disaster,300,0,27,5,182,5,4,2,84,2,1,1,2,1,890,5,11,0.312
2023,Munich Cowboys,300,0,128,5,132,5,27,2,11,2,1,1,1,1,948,8,8,0.5
2023,Rock Stars,300,0,127,5,104,6,31,2,36,1,1,1,1,1,870,5,11,0.312
2024,Egyptian Magicians,295,5,78,5,146,7,25,1,44,1,1,1,1,1,930,5,11,0.312
2024,Generals,300,0,155,5,49,6,65,1,27,2,3,1,1,1,1036,11,5,0.688
2024,Homers Heroes,287,13,138,4,102,7,42,2,2,1,2,1,1,1,1036,9,7,0.562
2024,Kentucky Football Club,300,0,78,6,102,5,77,2,41,1,1,1,1,1,958,9,7,0.562
2024,LA Losers,294,6,181,5,98,5,12,3,1,1,1,1,1,1,928,10,5,0.656
2024,Leeds United,300,0,95,4,154,6,27,2,22,2,1,1,1,1,954,7,8,0.469
2024,Masters of Disaster,300,0,86,5,149,6,30,2,29,1,5,1,1,1,947,5,11,0.312
2024,Munich Cowboys,297,3,99,5,160,5,24,2,10,2,2,1,2,1,1043,8,7,0.531
2024,Relegators,300,0,197,4,52,6,36,2,11,2,2,1,2,1,862,7,8,0.469
2024,Rock Stars,300,0,86,4,154,6,53,2,2,2,2,1,3,1,958,7,9,0.438
2025,Egyptian Magicians,300,0,105,5,178,5,4,2,11,2,1,1,1,1,909,6,10,0.375
2025,Generals,295,5,127,5,56,7,67,1,40,1,1,1,4,1,1109,14,1,0.906
2025,Homers Heroes,300,0,151,4,131,6,13,2,2,1,1,1,2,2,980,8,8,0.5
2025,Kentucky Football Club,300,0,161,5,77,5,49,3,11,1,1,1,1,1,936,8,8,0.5
2025,LA Losers,294,6,89,6,140,5,60,2,3,1,1,1,1,1,923,5,10,0.344
2025,Leeds United,300,0,114,4,139,5,35,3,9,2,1,1,2,1,852,4,12,0.25
2025,Masters of Disaster,300,0,147,5,46,5,65,2,40,2,1,1,1,1,1003,11,5,0.688
2025,Munich Cowboys,294,6,148,5,126,5,5,2,12,2,1,1,2,1,1178,10,5,0.656
2025,Relegators,300,0,76,3,139,7,78,2,2,2,4,1,1,1,856,3,13,0.188
2025,Rock Stars,300,0,168,5,85,6,41,2,3,1,1,1,2,1,885,9,6,0.594
