Year,Team,Player,Pos,Salary,TotalFPTS,ActiveFPTS,PtsPerDollar
2021,Masters of Disaster,J.K. Dobbins,RB,39,0,0,0
2023,Munich Cowboys,Nick Chubb,RB,84,7,7,0.08
2022,Egyptian Magicians,Javonte Williams,RB,43,9,9,0.21
2021,Donora Dragons,Christian McCaffrey,RB,101,37,37,0.37
2021,Munich Cowboys,Calvin Ridley,WR,56,22,22,0.39
2022,Rock Stars,Jonathan Taylor,RB,98,59,59,0.6
2021,Kentucky Football Club,Chris Carson,RB,42,27,23,0.64
2023,Homers Heroes,Austin Ekeler,RB,81,65,64,0.8
2021,Homers Heroes,Dalvin Cook,RB,99,84,87,0.85
2023,Rock Stars,Cooper Kupp,WR,71,62,61,0.87
2021,Rock Stars,Darren Waller,TE,40,35,35,0.88
2023,Masters of Disaster,Justin Jefferson,WR,84,76,62,0.9
2021,Donora Dragons,Saquon Barkley,RB,55,52,36,0.95
2022,Masters of Disaster,Cooper Kupp,WR,77,81,81,1.05
2022,Egyptian Magicians,Deebo Samuel,WR,65,73,56,1.12
2023,Leeds United,Tony Pollard,RB,75,86,69,1.15
2023,Masters of Disaster,Ja'Marr Chase,WR,81,93,92,1.15
2023,Leeds United,Josh Jacobs,RB,62,72,72,1.16
2023,Masters of Disaster,Travis Kelce,TE,80,95,64,1.19
2021,Kentucky Football Club,Derrick Henry,RB,101,120,112,1.19
2023,Generals,Jaylen Waddle,WR,54,65,45,1.2
2022,Generals,Alvin Kamara,RB,55,68,49,1.24
2021,Munich Cowboys,A.J. Brown,WR,53,66,42,1.25
2023,Rock Stars,Bijan Robinson,RB,79,100,86,1.27
2021,Generals,Alvin Kamara,RB,75,96,6,1.28
