Team,ELIG,Total Salary,Years
"DONORA DRAGONS","RB",407,3
"DONORA DRAGONS","WR",337,3
"DONORA DRAGONS","QB",141,3
"DONORA DRAGONS","TE",6,3
"DONORA DRAGONS","DST",5,3
"DONORA DRAGONS","K",4,3
"EGYPTIAN MAGICIANS","WR",739,5
"EGYPTIAN MAGICIANS","RB",507,5
"EGYPTIAN MAGICIANS","TE",130,5
"EGYPTIAN MAGICIANS","QB",96,5
"EGYPTIAN MAGICIANS","K",17,5
"EGYPTIAN MAGICIANS","DST",6,5
"GENERALS","RB",597,5
"GENERALS","WR",423,5
"GENERALS","QB",323,5
"GENERALS","TE",109,5
"GENERALS","K",13,5
"GENERALS","DST",10,5
"HOMERS HEROES","RB",734,5
"HOMERS HEROES","WR",521,5
"HOMERS HEROES","QB",169,5
"HOMERS HEROES","TE",41,5
"HOMERS HEROES","DST",6,5
"HOMERS HEROES","K",6,5
"KENTUCKY FOOTBALL CLUB","RB",669,5
"KENTUCKY FOOTBALL CLUB","WR",434,5
"KENTUCKY FOOTBALL CLUB","QB",239,5
"KENTUCKY FOOTBALL CLUB","TE",131,5
"KENTUCKY FOOTBALL CLUB","K",11,5
"KENTUCKY FOOTBALL CLUB","DST",8,5
"LA LOSERS","RB",688,5
"LA LOSERS","WR",584,5
"LA LOSERS","QB",182,5
"LA LOSERS","K",12,5
"LA LOSERS","TE",11,5
"LA LOSERS","DST",5,5
"LEEDS UNITED","WR",719,5
"LEEDS UNITED","RB",593,5
"LEEDS UNITED","QB",129,5
"LEEDS UNITED","TE",44,5
"LEEDS UNITED","DST",9,5
"LEEDS UNITED","K",5,5
"MASTERS OF DISASTER","WR",650,5
"MASTERS OF DISASTER","RB",440,5
"MASTERS OF DISASTER","TE",233,5
"MASTERS OF DISASTER","QB",154,5
"MASTERS OF DISASTER","K",10,5
"MASTERS OF DISASTER","DST",7,5
"Munich Cowboys","WR",683,5
"Munich Cowboys","RB",632,5
"Munich Cowboys","TE",90,5
"Munich Cowboys","QB",72,5
"Munich Cowboys","DST",8,5
"Munich Cowboys","K",6,5
"RELEGATORS","RB",273,2
"RELEGATORS","WR",191,2
"RELEGATORS","QB",114,2
"RELEGATORS","TE",13,2
"RELEGATORS","K",6,2
"RELEGATORS","DST",3,2
"ROCK STARS","RB",644,5
"ROCK STARS","WR",542,5
"ROCK STARS","QB",163,5
"ROCK STARS","TE",133,5
"ROCK STARS","DST",9,5
"ROCK STARS","K",7,5
