Year,Team,Player,CbsPlayerId
2025,"Munich Cowboys","Jonathan Taylor RB • IND",2866395
2025,"Munich Cowboys","Bucky Irving RB • TB",26693770
2025,"Munich Cowboys","Amon-Ra St. Brown WR • DET",2967690
2025,"Munich Cowboys","Trey McBride TE • ARI",2963385
2025,"Munich Cowboys","Calvin Ridley WR • TEN",2186328
2025,"Munich Cowboys","Bo Nix QB • DEN",3121193
2025,"Munich Cowboys","Jaxon Smith-Njigba WR • SEA",3162959
2025,"Munich Cowboys","Rashee Rice WR • KC",3124978
2025,"Munich Cowboys","Tank Bigsby RB • PHI",3162021
2025,"Munich Cowboys","Emeka Egbuka WR • TB",26696165
2025,"Munich Cowboys","Zach Charbonnet RB • SEA",3123810
2025,"Munich Cowboys","Tyrone Tracy Jr. RB • NYG",2963637
2025,"Munich Cowboys","Vikings DST • MIN",1916
2025,"Munich Cowboys","Drake Maye QB • NE",26695757
2025,"Munich Cowboys","Tyler Warren TE • IND",3168800
2025,"Munich Cowboys","Cameron Dicker K • LAC",2961997
2025,"Masters of Disaster","Derrick Henry RB • BAL",2061188
2025,"Masters of Disaster","Jayden Daniels QB • WAS",3123337
2025,"Masters of Disaster","George Kittle TE • SF",2818265
2025,"Masters of Disaster","Kyler Murray QB • MIN",2180829
2025,"Masters of Disaster","D'Andre Swift RB • CHI",2871710
2025,"Masters of Disaster","DK Metcalf WR • PIT",2260185
2025,"Masters of Disaster","Breece Hall RB • NYJ",3123469
2025,"Masters of Disaster","Wil Lutz K • DEN",2008545
2025,"Masters of Disaster","DJ Moore WR • BUF",2179328
2025,"Masters of Disaster","Tetairoa McMillan WR • CAR",28877124
2025,"Masters of Disaster","Tony Pollard RB • TEN",2184011
2025,"Masters of Disaster","Chris Olave WR • NO",2963666
2025,"Masters of Disaster","Steelers DST • PIT",1922
2025,"Masters of Disaster","Jordan Addison WR • MIN",3162290
2025,"Masters of Disaster","T.J. Hockenson TE • MIN",2251097
2025,"Masters of Disaster","Jaylen Warren RB • PIT",3126535
2025,"Leeds United","Justin Jefferson WR • MIN",2871343
2025,"Leeds United","Patrick Mahomes QB • KC",2142052
2025,"Leeds United","Omarion Hampton RB • LAC",28908905
2025,"Leeds United","Kenneth Walker III RB • KC",3121372
2025,"Leeds United","Davante Adams WR • LAR",1893167
2025,"Leeds United","James Conner RB • ARI",2071585
2025,"Leeds United","Dak Prescott QB • DAL",1824864
2025,"Leeds United","Mike Evans WR • SF",1824909
2025,"Leeds United","Eagles DST • PHI",1921
2025,"Leeds United","Matt Gay K • LV",2870511
2025,"Leeds United","Travis Kelce TE • KC",1725130
2025,"Leeds United","Jauan Jennings WR • MIN",2180514
2025,"Leeds United","Isaiah Likely TE • NYG",2961906
2025,"Leeds United","Michael Penix Jr. QB • ATL",2963496
2025,"Leeds United","Matthew Golden WR • GB",28874927
2025,"Leeds United","Jaydon Blue RB • DAL",28875227
2025,"Homers Heroes","Jahmyr Gibbs RB • DET",3162723
2025,"Homers Heroes","Ashton Jeanty RB • LV",28874008
2025,"Homers Heroes","CeeDee Lamb WR • DAL",2865251
2025,"Homers Heroes","Brock Purdy QB • SF",2961306
2025,"Homers Heroes","A.J. Brown WR • NE",2258303
2025,"Homers Heroes","Justin Fields QB • KC",1273205
2025,"Homers Heroes","Jayden Reed WR • GB",2967762
2025,"Homers Heroes","Travis Hunter WR • JAC",28909849
2025,"Homers Heroes","David Njoku TE • LAC",2136474
2025,"Homers Heroes","Khalil Shakir WR • BUF",2969119
2025,"Homers Heroes","Lions DST • DET",1910
2025,"Homers Heroes","Jakobi Meyers WR • JAC",2183835
2025,"Homers Heroes","Jake Bates K • DET",3173439
2025,"Homers Heroes","Travis Etienne RB • NO",2809206
2025,"Homers Heroes","Rhamondre Stevenson RB • NE",3125832
2025,"Homers Heroes","Giants DST • NYG",1918
2025,"Rock Stars","Christian McCaffrey RB • SF",2136743
2025,"Rock Stars","Kyren Williams RB • LAR",3121836
2025,"Rock Stars","Baker Mayfield QB • TB",2080032
2025,"Rock Stars","Nico Collins WR • HOU",2878193
2025,"Rock Stars","Stefon Diggs WR • NE",2000038
2025,"Rock Stars","Chuba Hubbard RB • CAR",2865693
2025,"Rock Stars","Jacory Croskey-Merritt RB • WAS",3126952
2025,"Rock Stars","Ricky Pearsall WR • SF",3122949
2025,"Rock Stars","Tucker Kraft TE • GB",3133332
2025,"Rock Stars","Packers DST • GB",1911
2025,"Rock Stars","Jerry Jeudy WR • CLE",2741201
2025,"Rock Stars","Evan McPherson K • CIN",2962681
2025,"Rock Stars","Deebo Samuel WR • WAS",2139735
2025,"Rock Stars","C.J. Stroud QB • HOU",3163079
2025,"Rock Stars","Brian Robinson Jr. RB • ATL",2741207
