Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"Unknown Team",RB,"Christian McCaffrey RB • SF",93,,,
"Unknown Team",QB,"Lamar Jackson QB • BAL",46,,,
"Unknown Team",RB,"Josh Jacobs RB • GB",65,,,
"Unknown Team",WR,"Tyreek Hill WR • MIA",62,,,
"Unknown Team",DST,"Steelers DST • PIT",2,,,
"Unknown Team",WR,"Marvin Jones WR •",5,,,
"Unknown Team",QB,"Jared Goff QB • DET",2,,,
"Unknown Team",RB,"Tevin Coleman RB •",4,,,
"Unknown Team",K,"Jason Myers K • SEA",1,,,
"Unknown Team",WR,"John Brown WR •",3,,,
"Unknown Team",TE,"Jared Cook TE •",6,,,
"Unknown Team",WR,"Julian Edelman WR •",3,,,
"Unknown Team",TE,"Tyler Higbee TE • LAR",4,,,
"Unknown Team",WR,"Jamison Crowder WR • WAS",1,,,
"Unknown Team",WR,"Henry Ruggs III WR •",2,,,
"Unknown Team",RB,"Ryquell Armstead RB •",1,,,
"GENERALS",QB,"Patrick Mahomes QB • KC",41,,,
"GENERALS",RB,"Dalvin Cook RB • DAL",86,,,
"GENERALS",RB,"Aaron Jones RB • MIN",76,,,
"GENERALS",K,"Wil Lutz K • DEN",5,,,
"GENERALS",WR,"Cooper Kupp WR • SEA",37,,,
"GENERALS",WR,"DK Metcalf WR • PIT",21,,,
"GENERALS",WR,"Keenan Allen WR • CHI",20,,,
"GENERALS",RB,"Alexander Mattison RB • MIA",4,,,
"GENERALS",TE,"Hunter Henry TE • NE",2,,,
"GENERALS",RB,"Jamaal Williams RB • NO",1,,,
"GENERALS",TE,"Noah Fant TE • SEA",1,,,
"GENERALS",DST,"Colts DST • IND",1,,,
"GENERALS",DST,"Eagles DST • PHI",1,,,
"GENERALS",QB,"Jimmy Garoppolo QB • LAR",1,,,
"GENERALS",RB,"James White RB •",1,,,
"GENERALS",WR,"Hunter Renfrow WR • CAR",1,,,
"KENTUCKY FOOTBALL CLUB",RB,"Derrick Henry RB • BAL",80,,,
"KENTUCKY FOOTBALL CLUB",WR,"Michael Thomas WR • NO",72,,,
"KENTUCKY FOOTBALL CLUB",QB,"Carson Wentz QB • KC",4,,,
"KENTUCKY FOOTBALL CLUB",RB,"Mark Ingram RB •",21,,,
"KENTUCKY FOOTBALL CLUB",RB,"Raheem Mostert RB • LV",16,,,
