Team,POS,Player,Salary,ELIG,Total FPTS,Active FPTS
"Munich Cowboys",RB,"Nick Chubb RB • CLE",84,RB,7.0,7.0
"Munich Cowboys",QB,"Justin Fields QB • NYJ",25,QB,149.0,122.0
"Munich Cowboys",WR,"CeeDee Lamb WR • DAL",63,WR,166.0,146.0
"Munich Cowboys",RB,"Rhamondre Stevenson RB • NE",27,RB,50.0,39.0
"Munich Cowboys",WR,"Chris Olave WR • NO",50,WR,74.0,66.0
"Munich Cowboys",RES,"Isiah Pacheco RB • KC",4,RB,125.0,66.0
"Munich Cowboys",WR,"Tyler Lockett WR • TEN",10,WR,62.0,19.0
"Munich Cowboys",RES,"Geno Smith QB • LV",2,QB,155.0,46.0
"Munich Cowboys",RES,"Rachaad White RB • TB",4,RB,114.0,9.0
"Munich Cowboys",TE,"Kyle Pitts TE • ATL",9,TE,36.0,7.0
"Munich Cowboys",RES,"Javonte Williams RB • DAL",9,RB,61.0,19.0
"Munich Cowboys",RES,"Brandin Cooks WR • NO",2,WR,69.0,19.0
"Munich Cowboys",RES,"Zay Flowers WR • BAL",7,WR,81.0,25.0
"Munich Cowboys",RES,"Chigoziem Okonkwo TE • TEN",2,TE,20.0,0.0
"Munich Cowboys",K,"Cameron Dicker K • LAC",1,K,135.0,49.0
"Munich Cowboys",DST,"Saints DST • NO",1,DST,100.0,56.0
"DONORA DRAGONS",QB,"Patrick Mahomes QB • KC",60,QB,240.0,194.0
"DONORA DRAGONS",RB,"Najee Harris RB • LAC",32,RB,86.0,19.0
"DONORA DRAGONS",RB,"Jonathan Taylor RB • IND",53,RB,76.0,60.0
"DONORA DRAGONS",WR,"Garrett Wilson WR • NYJ",42,WR,58.0,54.0
"DONORA DRAGONS",WR,"Amon-Ra St. Brown WR • DET",54,WR,141.0,110.0
"DONORA DRAGONS",WR,"Amari Cooper WR • BUF",28,WR,87.0,72.0
"DONORA DRAGONS",DST,"Cowboys DST • DAL",2,DST,129.0,114.0
"DONORA DRAGONS",RES,"James Cook RB • BUF",8,RB,90.0,60.0
"DONORA DRAGONS",K,"Tyler Bass K • BUF",2,K,138.0,22.0
"DONORA DRAGONS",RES,"Marquise Brown WR • KC",5,WR,42.0,13.0
"DONORA DRAGONS",RES,"Antonio Gibson RB • NE",3,RB,29.0,0.0
"DONORA DRAGONS",TE,"Dalton Schultz TE • HOU",1,TE,58.0,12.0
"DONORA DRAGONS",RES,"Ezekiel Elliott RB • LAC",2,RB,55.0,16.0
"DONORA DRAGONS",RES,"Kenny Pickett QB • CLE",1,QB,64.0,0.0
"DONORA DRAGONS",RES,"Rashod Bateman WR • BAL",3,WR,15.0,0.0
"DONORA DRAGONS",RES,"Jaylen Warren RB • PIT",4,RB,61.0,3.0
"MASTERS OF DISASTER",TE,"Travis Kelce TE • KC",80,TE,95.0,64.0
"MASTERS OF DISASTER",WR,"Justin Jefferson WR • MIN",84,WR,76.0,62.0
"MASTERS OF DISASTER",WR,"Ja'Marr Chase WR • CIN",81,WR,93.0,92.0
"MASTERS OF DISASTER",RB,"J.K. Dobbins RB • LAC",17,RB,6.0,6.0
"MASTERS OF DISASTER",QB,"Deshaun Watson QB • CLE",3,QB,60.0,0.0
"MASTERS OF DISASTER",K,"Evan McPherson K • CIN",1,K,125.0,9.0
"MASTERS OF DISASTER",WR,"Drake London WR • ATL",7,WR,46.0,13.0
"MASTERS OF DISASTER",RB,"Brian Robinson Jr. RB • WAS",5,RB,91.0,68.0
"MASTERS OF DISASTER",RES,"Dak Prescott QB • DAL",1,QB,272.0,207.0
"MASTERS OF DISASTER",RES,"Mike Williams WR • LAC",9,WR,17.0,17.0
"MASTERS OF DISASTER",RES,"Khalil Herbert RB • IND",3,RB,44.0,7.0
"MASTERS OF DISASTER",DST,"Seahawks DST • SEA",2,DST,87.0,6.0
"MASTERS OF DISASTER",RES,"Evan Engram TE • DEN",4,TE,54.0,1.0
"MASTERS OF DISASTER",RES,"Elijah Moore WR • BUF",1,WR,28.0,0.0
"MASTERS OF DISASTER",RES,"Samaje Perine RB • CIN",1,RB,19.0,0.0
"MASTERS OF DISASTER",RES,"Damien Harris RB • BUF",1,RB,8.0,0.0
"LEEDS UNITED",RB,"Josh Jacobs RB • GB",62,RB,72.0,72.0
"LEEDS UNITED",RB,"Tony Pollard RB • TEN",75,RB,86.0,69.0
"LEEDS UNITED",WR,"Stefon Diggs WR • NE",67,WR,98.0,93.0
"LEEDS UNITED",QB,"Kirk Cousins QB • ATL",9,QB,120.0,0.0
"LEEDS UNITED",WR,"Christian Watson WR • GB",22,WR,42.0,18.0
