ID,LeagueID,SeasonID,Year,FantasyTeamName,Division,PointsFor,Max,Min,PointsAgainst,Wins,Losses,Ties,FinalRank,WeeksWon,Winnings,PowerRank,BreakdownRank,POY,GamesBack,Streak,PointsBack
41,85,44,1994,Death Dealers,Summerall,405,49,5,535,5,12,0,,,,,,,,,
38,85,44,1994,Donora Dragons,Madden,443,51,8,482,8,9,0,,,,,,,,,
20,85,44,1994,Italian Stallions,Summerall,432,44,10,490,5,11,1,,,,,,,,,
12,85,44,1994,LA Losers,Summerall,546,52,12,503,9,7,1,,,,,,,,,
11,85,44,1994,Leeds United,Madden,589,47,17,474,12,5,0,,,,,,,,,
16,85,44,1994,Masters of Disaster,Summerall,519,53,16,520,11,6,0,1,,,,,,,,
44,85,44,1994,Muff Marauders,Madden,535,52,2,466,11,6,0,,,,,,,,,
27,85,44,1994,Polish Power,Summerall,474,52,11,482,6,11,0,,,,,,,,,
42,85,45,1995,Death Dealers,Madden,724,64,24,780,7,10,0,,,,,,,,,
39,85,45,1995,Donora Dragons,,929,84,21,965,8,9,0,,,,,,,,,
21,85,45,1995,Italian Stallions,,861,70,31,885,6,11,0,,,,,,,,,
24,85,45,1995,LA Losers,,735,79,23,798,8,9,0,,,,,,,,,
13,85,45,1995,Leeds United,,880,84,30,809,9,8,0,,,,,,,,,
17,85,45,1995,Masters of Disaster,,936,81,15,821,11,6,0,2,,,,,,,,
45,85,45,1995,Muff Marauders,,855,66,33,848,9,8,0,,,,,,,,,
28,85,45,1995,Polish Power,,966,87,35,896,11,6,0,,,,,,,,,
47,85,45,1995,Rat Boys,,771,76,12,924,6,11,0,,,,,,,,,
31,85,45,1995,Rock Stars,,871,82,26,802,9,8,0,,,,,,,,,
43,85,46,1996,Death Dealers,,751,59,,723,9,7,1,,,,,,,,,
40,85,46,1996,Donora Dragons,,664,,,623,9,8,0,,,,,,,,,
22,85,46,1996,Italian Stallions,,771,78,,722,8,8,1,,,,,,,,,
25,85,46,1996,LA Losers,,831,88,,694,13,3,1,,,,,,,,,
14,85,46,1996,Leeds United,,827,72,,831,6,10,1,,,,,,,,,
34,85,46,1996,Magical Mystery Men,,754,77,,694,8,9,0,,,,,,,,,
18,85,46,1996,Masters of Disaster,,770,61,,742,8,9,0,2,,,,,,,,
46,85,46,1996,Muff Marauders,,723,69,,744,6,11,0,,,,,,,,,
29,85,46,1996,Polish Power,,648,57,,907,4,13,0,,,,,,,,,
32,85,46,1996,Rock Stars,,914,78,,659,12,5,0,,,,,,,,,
37,85,47,1997,Egyptian Magicians,,811,68,27,822,7,10,0,,,,,,,,,
48,85,47,1997,Fruity Whipple Hot Mops,,608,61,17,848,2,15,0,,,,,,,,,
36,85,47,1997,Generals,,671,69,24,869,5,12,0,,,,,,,,,
23,85,47,1997,Italian Stallions,,788,67,21,835,9,8,0,,,,,,,,,
26,85,47,1997,LA Losers,,862,97,25,795,10,6,1,,,,,,,,,
15,85,47,1997,Leeds United,,926,80,36,837,11,5,1,,,,,,,,,
35,85,47,1997,Magical Mystery Men,,956,80,41,820,12,5,0,,,,,,,,,
19,85,47,1997,Masters of Disaster,,1002,85,33,814,11,4,2,,,,,,,,,
30,85,47,1997,Polish Power,,730,67,13,797,6,10,1,,,,,,,,,
33,85,47,1997,Rock Stars,,833,76,21,750,9,7,1,,,,,,,,,
56,85,48,1998,Egyptian Magicians,Summerall,869,81,34,761,10,7,0,6,,,,,,,,
54,85,48,1998,Generals,Summerall,1035,114,34,857,12,5,0,2,,,,,,,,
58,85,48,1998,Italian Stallions,Summerall,769,80,27,874,7,10,0,9,,,,,,,,
55,85,48,1998,LA Losers,Summerall,864,84,29,786,12,5,0,3,,,,,,,,
53,85,48,1998,Leeds United,Madden,729,62,13,891,5,12,0,10,,,,,,,,
49,85,48,1998,Masters of Disaster,Madden,932,77,32,876,9,8,0,1,,,,,,,,
51,85,48,1998,Osama Bin Laden,Madden,764,66,18,907,7,10,0,5,,,,,,,,
52,85,48,1998,P-Funk All Stars,Madden,704,64,21,789,7,10,0,7,,,,,,,,
57,85,48,1998,Polish Power,Summerall,799,80,19,764,8,9,0,8,,,,,,,,
50,85,48,1998,Rock Stars,Madden,881,85,37,841,8,9,0,4,,,,,,,,
10,85,49,1999,Egyptian Magicians,,968,,,,7,10,0,,,,,,,,,
7,85,49,1999,Generals,,850,,,,9,8,0,,,,,,,,,
3,85,49,1999,Italian Stallions,,878,,,,7,10,0,,,,,,,,,
2,85,49,1999,LA Losers,,824,,,,10,7,0,,,,,,,,,
4,85,49,1999,Latin Assassins,,820,,,,6,11,0,,,,,,,,,
1,85,49,1999,Leeds United,,970,,,,11,6,0,,,,,,,,,
8,85,49,1999,Masters of Disaster,,886,,,,9,8,0,4,,,,,,,,
6,85,49,1999,P-Funk All Stars,,939,,,,11,6,0,,,,,,,,,
9,85,49,1999,Polish Power,,803,,,,8,9,0,,,,,,,,,
5,85,49,1999,Rock Stars,,842,,,,7,10,0,,,,,,,,,
69,85,50,2000,Egyptian Magicians,,901,,,912,8,9,0,0,1,$20.00,,,,,,
62,85,50,2000,Generals,,880,,,948,7,10,0,0,1,$20.00,,,,,,
70,85,50,2000,Italian Stallions,,861,,,1046,6,10,1,0,0,$0.00,,,,,,
67,85,50,2000,LA Losers,,1068,,,906,12,4,1,3,2,$140.00,,,,,,
66,85,50,2000,Leeds United,,934,,,775,13,4,0,2,1,$220.00,,,,,,
63,85,50,2000,Magical Mystery Men,,861,,,994,7,10,0,0,2,$40.00,,,,,,
64,85,50,2000,Masters of Disaster,,935,,,999,6,10,1,9,1,$20.00,,,,,,
65,85,50,2000,P-Funk All Stars,,881,,,952,6,11,0,0,2,$40.00,,,,,,
61,85,50,2000,Polish Power,,1048,,,833,10,6,1,1,4,$460.00,,,,,,
68,85,50,2000,Rock Stars,,911,,,915,8,9,0,0,2,$40.00,,,,,,
74,85,51,2001,Egyptian Magicians,Summerall,935,71,34,773,11,5,1,2,5,$200.00,26.5,8,Kurt Warner,,,
75,85,51,2001,Generals,Madden,739,68,18,881,5,11,1,9,0.5,$0.00,8,3,Daunte Culpepper,,,
79,85,51,2001,Italian Stallions,Madden,734,81,21,896,4,13,0,8,3,$60.00,3,1,Corey Dillon,,,
71,85,51,2001,LA Losers,Madden,735,67,12,859,6,10,1,6,0,$0.00,7,2,Eddie George,,,
72,85,51,2001,Leeds United,Madden,893,75,24,814,10,7,0,4,2.5,$50.00,22,9,Marshall Faulk,,,
78,85,51,2001,Magical Mystery Men,Summerall,925,76,36,913,7,9,1,10,6,$120.00,18.5,6.5,Payton Manning,,,
73,85,51,2001,Masters of Disaster,Summerall,952,95,34,840,10,6,1,3,3,$100.00,28,10,"Shaun Alexander, Marvin Harrison",,,
77,85,51,2001,P-Funk All Stars,Summerall,857,73,28,888,9,8,0,5,2,$40.00,15.5,5,Terrell Owens,,,
76,85,51,2001,Polish Power,Summerall,799,57,23,774,8,7,2,8,0,$0.00,13.5,4,Brett Favre,,,
80,85,51,2001,Rock Stars,Madden,908,93,25,839,11,5,1,1,0,$430.00,23,6.5,Curtis Martin,,,
91,85,52,2002,Egyptian Magicians,Madden,915,75,30,885,11,6,0,3,2,$120.00,24.5,8,,,,
86,85,52,2002,Generals,Summerall,857,81,31,945,7,10,0,6,1,$20.00,11,4,,,,
82,85,52,2002,Italian Stallions,Summerall,874,73,29,918,9,8,0,2,1,$220.00,17.5,6,,,,
89,85,52,2002,LA Losers,Madden,923,70,29,927,9,8,0,7,2,$40.00,23.5,9,,,,
88,85,52,2002,Leeds United,Summerall,885,80,31,861,8,9,0,4,2,$40.00,16,5,,,,
83,85,52,2002,Magical Mystery Men,Madden,1123,103,43,940,11,6,0,1,4,$480.00,29.5,10,Priest Holmes,,,
87,85,52,2002,Masters of Disaster,Summerall,805,95,27,863,6,11,0,10,1,$20.00,3,1,Ladanian Tomlinson,,,
84,85,52,2002,P-Funk All Stars,Madden,933,86,29,874,10,7,0,5,1,$20.00,24,7,,,,
85,85,52,2002,Polish Power,Summerall,818,79,29,861,7,10,0,8,1,$20.00,7,2,,,,
90,85,52,2002,Rock Stars,Madden,850,86,28,909,7,10,0,9,1,$20.00,9,3,,,,
,85,53,2003,Leeds United,Madden,922,,,870,10,7,0,,2,,,,,0,W2,70
,85,53,2003,Munich Cowboys,Madden,843,,,840,9,6,2,,0,,,,,0,W4,149
,85,53,2003,Masters of Disaster,Madden,805,,,913,7,8,2,,2,,,,,2,W1,187
,85,53,2003,Rock Stars,Madden,898,,,833,7,9,1,,3,,,,,2.5,L1,94
,85,53,2003,P-Funk All Stars,Madden,836,,,850,7,9,1,,1,,,,,2.5,W1,156
,85,53,2003,Egyptian Magicians,Summerall,983,,,842,11,6,0,,3,,,,,0,L2,9
,85,53,2003,Homers Heroes,Summerall,992,,,879,10,7,0,,3,,,,,1,L1,0
,85,53,2003,Polish Power,Summerall,833,,,868,9,8,0,,2,,,,,2,W2,159
,85,53,2003,Generals,Summerall,828,,,885,6,11,0,,1,,,,,5,L10,164
,85,53,2003,LA Losers,Summerall,807,,,967,5,10,2,,0,,,,,5,L4,185
,85,54,2004,Masters of Disaster,Madden,976,,,861,9,8,0,,2.3,,,,,0,L1,54
,85,54,2004,P-Funk All Stars,Madden,962,,,907,9,8,0,,1.5,,,,,0,L2,68
,85,54,2004,Leeds United,Madden,936,,,1015,8,9,0,,1.5,,,,,1,W3,94
,85,54,2004,LA Losers,Madden,911,,,975,8,9,0,,2,,,,,1,L3,119
,85,54,2004,Polish Power,Madden,904,,,1004,6,11,0,,2,,,,,3,L6,126
,85,54,2004,Rock Stars,Madden,984,,,920,11,6,0,,2.5,,,,,0,W1,46
,85,54,2004,Egyptian Magicians,Madden,988,,,906,10,6,1,,1.8,,,,,0.5,W1,42
,85,54,2004,Generals,Madden,1030,,,1014,10,7,0,,2,,,,,1,W4,0
,85,54,2004,Homers Heroes,Madden,882,,,842,7,10,0,,1,,,,,4,L1,148
,85,54,2004,Munich Cowboys,Madden,836,,,965,6,10,1,,0.3,,,,,4.5,W1,194
,85,55,2005,Leeds United,Madden,902,,,831,10,6,1,,1,,,,,0,W1,208
,85,55,2005,Egyptian Magicians,Madden,1033,,,964,8,8,1,,3,,,,,2,L3,77
,85,55,2005,Polish Power,Madden,843,,,867,8,8,1,,2,,,,,2,L1,267
,85,55,2005,Rock Stars,Madden,747,,,903,7,9,1,,1,,,,,3,L2,363
,85,55,2005,P-Funk All Stars,Madden,654,,,844,3,14,0,,0,,,,,7.5,L3,456
