Team,Player,Draft_freq
"Munich Cowboys","Kyle Pitts TE",3
"HOMERS HEROES","Davante Adams WR",3
"ROCK STARS","Justin Herbert QB",3
"GENERALS","Alvin Kamara RB",3
"GENERALS","Alexander Mattison RB",3
"KENTUCKY FOOTBALL CLUB","Aaron Rodgers QB",3
"MASTERS OF DISASTER","Ja'Marr Chase WR",3
"GENERALS","George Kittle TE",3
"GENERALS","DeVonta Smith WR",3
"Munich Cowboys","Darrell Henderson Jr. RB •",2
"DONORA DRAGONS","Amari Cooper WR",2
"MASTERS OF DISASTER","Travis Kelce TE",2
"MASTERS OF DISASTER","DK Metcalf WR",2
"MASTERS OF DISASTER","Kareem Hunt RB",2
"MASTERS OF DISASTER","J.K. Dobbins RB",2
"MASTERS OF DISASTER","Courtland Sutton WR",2
"MASTERS OF DISASTER","Joe Burrow QB",2
"LEEDS UNITED","Tom Brady QB •",2
"LEEDS UNITED","James Robinson RB",2
"LEEDS UNITED","Tyler Bass K",2
"HOMERS HEROES","Dalvin Cook RB",2
"HOMERS HEROES","Michael Carter RB",2
"ROCK STARS","Jonathan Taylor RB",2
"ROCK STARS","Matthew Stafford QB",2
"ROCK STARS","Younghoe Koo K",2
"GENERALS","Tyler Lockett WR",2
"GENERALS","Harrison Butker K",2
"LA LOSERS","Keenan Allen WR",2
"LA LOSERS","Odell Beckham Jr. WR",2
"LA LOSERS","Rodrigo Blankenship K •",2
"LA LOSERS","Ravens DST",2
"EGYPTIAN MAGICIANS","Nick Chubb RB",2
"EGYPTIAN MAGICIANS","Chris Godwin WR",2
"EGYPTIAN MAGICIANS","Zack Moss RB",2
"KENTUCKY FOOTBALL CLUB","Derrick Henry RB",2
"KENTUCKY FOOTBALL CLUB","JuJu Smith-Schuster WR",2
"KENTUCKY FOOTBALL CLUB","Damien Harris RB",2
"KENTUCKY FOOTBALL CLUB","Tee Higgins WR",2
"KENTUCKY FOOTBALL CLUB","49ers DST",2
"KENTUCKY FOOTBALL CLUB","Derek Carr QB",2
"Munich Cowboys","Browns DST",2
"Munich Cowboys","Brandon Aiyuk WR",2
"Munich Cowboys","Rhamondre Stevenson RB",2
"MASTERS OF DISASTER","Elijah Moore WR",2
"LEEDS UNITED","Josh Jacobs RB",2
"LEEDS UNITED","Steelers DST",2
"LEEDS UNITED","Tua Tagovailoa QB",2
"HOMERS HEROES","Aaron Jones RB",2
"ROCK STARS","Mark Andrews TE",2
"ROCK STARS","Stefon Diggs WR",2
"ROCK STARS","Kenneth Walker III RB",2
"GENERALS","Josh Allen QB",2
"GENERALS","Ezekiel Elliott RB",2
"LA LOSERS","Saquon Barkley RB",2
"EGYPTIAN MAGICIANS","Deebo Samuel WR",2
"EGYPTIAN MAGICIANS","Dak Prescott QB",2
"EGYPTIAN MAGICIANS","Michael Pittman WR",2
"KENTUCKY FOOTBALL CLUB","Lamar Jackson QB",2
"KENTUCKY FOOTBALL CLUB","Michael Thomas WR",2
"KENTUCKY FOOTBALL CLUB","Justin Tucker K",2
"KENTUCKY FOOTBALL CLUB","Miles Sanders RB",2
"LEEDS UNITED","Tony Pollard RB",2
"ROCK STARS","Keenan Allen WR",2
"GENERALS","Jaylen Waddle WR",2
"LA LOSERS","Christian McCaffrey RB",2
"LA LOSERS","Jerry Jeudy WR",2
"KENTUCKY FOOTBALL CLUB","DeAndre Hopkins WR",2
"Munich Cowboys","Ezekiel Elliott RB",1
"Munich Cowboys","A.J. Brown WR",1
"Munich Cowboys","David Montgomery RB",1
"Munich Cowboys","Calvin Ridley WR",1
"Munich Cowboys","T.J. Hockenson TE",1
"Munich Cowboys","Marquise Brown WR",1
"Munich Cowboys","Robbie Chosen WR",1
"Munich Cowboys","Tony Pollard RB",1
"Munich Cowboys","Matt Gay K",1
"Munich Cowboys","Trey Sermon RB",1
"Munich Cowboys","Jalen Hurts QB",1
"Munich Cowboys","Broncos DST",1
"Munich Cowboys","Darnell Mooney WR",1
"Munich Cowboys","Trey Lance QB",1
"DONORA DRAGONS","Christian McCaffrey RB",1
"DONORA DRAGONS","Saquon Barkley RB",1
"DONORA DRAGONS","Dak Prescott QB",1
"DONORA DRAGONS","Diontae Johnson WR",1
"DONORA DRAGONS","Myles Gaskin RB",1
"DONORA DRAGONS","Javonte Williams RB",1
"DONORA DRAGONS","Brandon Aiyuk WR",1
"DONORA DRAGONS","Jerry Jeudy WR",1
"DONORA DRAGONS","Ja'Marr Chase WR",1
"DONORA DRAGONS","Leonard Fournette RB •",1
"DONORA DRAGONS","Brandin Cooks WR",1
"DONORA DRAGONS","Jason Myers K",1
"DONORA DRAGONS","Steelers DST",1
"DONORA DRAGONS","Tyler Higbee TE",1
"DONORA DRAGONS","Ryan Tannehill QB",1
"MASTERS OF DISASTER","Lamar Jackson QB",1
"MASTERS OF DISASTER","D'Andre Swift RB",1
"MASTERS OF DISASTER","Julio Jones WR •",1
"MASTERS OF DISASTER","Raheem Mostert RB",1
"MASTERS OF DISASTER","Justin Tucker K",1
"MASTERS OF DISASTER","Commanders DST",1
"MASTERS OF DISASTER","Kenny Golladay WR •",1
"MASTERS OF DISASTER","DeVonta Smith WR",1
"MASTERS OF DISASTER","Corey Davis WR •",1
"MASTERS OF DISASTER","Ronald Jones RB •",1
"LEEDS UNITED","Aaron Jones RB",1
"LEEDS UNITED","Tyreek Hill WR",1
"LEEDS UNITED","Mike Davis RB •",1
"LEEDS UNITED","Robert Woods WR",1
"LEEDS UNITED","Russell Wilson QB",1
"LEEDS UNITED","Chase Claypool WR",1
"LEEDS UNITED","Patriots DST",1
"LEEDS UNITED","Michael Gallup WR",1
"LEEDS UNITED","Logan Thomas TE",1
"LEEDS UNITED","Michael Pittman WR",1
"LEEDS UNITED","Mecole Hardman WR",1
"LEEDS UNITED","Phillip Lindsay RB •",1
"LEEDS UNITED","Irv Smith TE",1
"HOMERS HEROES","Josh Allen QB",1
"HOMERS HEROES","Antonio Gibson RB",1
"HOMERS HEROES","Tua Tagovailoa QB",1
"HOMERS HEROES","Colts DST",1
"HOMERS HEROES","Jarvis Landry WR •",1
"HOMERS HEROES","Mason Crosby K •",1
"HOMERS HEROES","Curtis Samuel WR",1
"HOMERS HEROES","Jaylen Waddle WR",1
"HOMERS HEROES","Rob Gronkowski TE •",1
"HOMERS HEROES","Noah Fant TE",1
"HOMERS HEROES","Laviska Shenault Jr. WR",1
"HOMERS HEROES","Marvin Jones WR •",1
"HOMERS HEROES","A.J. Green WR •",1
"ROCK STARS","Joe Mixon RB",1
"ROCK STARS","Darren Waller TE •",1
"ROCK STARS","Terry McLaurin WR",1
"ROCK STARS","Mike Evans WR",1
"ROCK STARS","Chase Edmonds RB",1
"ROCK STARS","DJ Moore WR",1
"ROCK STARS","Rams DST",1
"ROCK STARS","David Johnson RB •",1
"ROCK STARS","Antonio Brown WR",1
"ROCK STARS","Sony Michel RB •",1
"ROCK STARS","Nelson Agholor WR",1
"ROCK STARS","Tre'Quan Smith WR",1
"GENERALS","Patrick Mahomes QB",1
"GENERALS","Josh Jacobs RB",1
"GENERALS","DeAndre Hopkins WR",1
"GENERALS","Latavius Murray RB",1
"GENERALS","Michael Thomas WR",1
"GENERALS","Melvin Gordon RB •",1
"GENERALS","Robert Tonyan TE",1
"GENERALS","Marquez Callaway WR",1
"GENERALS","Panthers DST",1
"GENERALS","Kenyan Drake RB •",1
"GENERALS","Kirk Cousins QB",1
"GENERALS","Henry Ruggs III WR •",1
"LA LOSERS","Najee Harris RB",1
"LA LOSERS","Austin Ekeler RB",1
"LA LOSERS","Miles Sanders RB",1
"LA LOSERS","Justin Jefferson WR",1
"LA LOSERS","CeeDee Lamb WR",1
"LA LOSERS","Deebo Samuel WR",1
"LA LOSERS","Taysom Hill TE",1
"LA LOSERS","Matt Ryan QB •",1
"LA LOSERS","Jason Sanders K",1
"LA LOSERS","Jared Cook TE •",1
"LA LOSERS","Dallas Goedert TE",1
"LA LOSERS","J.D. McKissic RB •",1
"EGYPTIAN MAGICIANS","George Kittle TE",1
"EGYPTIAN MAGICIANS","Clyde Edwards-Helaire RB",1
"EGYPTIAN MAGICIANS","Kyler Murray QB",1
"EGYPTIAN MAGICIANS","Adam Thielen WR",1
"EGYPTIAN MAGICIANS","Allen Robinson WR",1
"EGYPTIAN MAGICIANS","Buccaneers DST",1
"EGYPTIAN MAGICIANS","Greg Zuerlein K",1
