Player,POS,Total FPTS,Avg FPTS
"Patrick Mahomes QB • KC",QB,303,17.82
"Josh Allen QB • BUF",QB,293,18.31
"Joe Burrow QB • CIN",QB,270,16.88
"Jalen Hurts QB • PHI",QB,262,17.47
"Kirk Cousins QB • LV",QB,213,12.53
"Trevor Lawrence QB • JAC",QB,212,12.47
"Geno Smith QB • NYJ",QB,208,12.24
"Justin Fields QB • KC",QB,202,13.47
"Jared Goff QB • DET",QB,201,11.82
"Justin Herbert QB • LAC",QB,186,10.94
"Daniel Jones QB • IND",QB,178,11.12
"Tua Tagovailoa QB • ATL",QB,178,13.69
"Aaron Rodgers QB • PIT",QB,174,10.24
"Derek Carr QB • NO",QB,168,11.20
"Derrick Henry RB • BAL",RB,160,10.00
"Austin Ekeler RB • WAS",RB,158,9.29
"Lamar Jackson QB • BAL",QB,155,12.92
"Davante Adams WR • LAR",WR,154,9.06
"Dak Prescott QB • DAL",QB,152,12.67
"Russell Wilson QB • NYG",QB,151,10.07
"Justin Tucker K • BAL",K,151,8.88
"Jason Myers K • SEA",K,149,8.76
"Daniel Carlson K • LV",K,148,8.71
"Christian McCaffrey RB • SF",RB,146,8.59
"Josh Jacobs RB • GB",RB,145,8.53
"Nick Chubb RB • HOU",RB,145,8.53
"Jamaal Williams RB • NO",RB,144,8.47
"Patriots DST • NE",DST,139,8.18
"Marcus Mariota QB • WAS",QB,136,10.46
"Kyler Murray QB • MIN",QB,136,12.36
"Tyreek Hill WR • MIA",WR,136,8.00
"Younghoe Koo K • NYJ",K,136,8.00
"Davis Mills QB • HOU",QB,134,8.93
"Nick Folk K • ATL",K,132,7.76
"Eddy Pineiro K • SF",K,131,7.71
"Tyler Bass K • BUF",K,131,8.19
"Stefon Diggs WR • NE",WR,128,8.00
"Justin Jefferson WR • MIN",WR,128,7.53
"Riley Patterson K • MIA",K,128,7.53
"Graham Gano K • NYG",K,127,7.47
"A.J. Brown WR • NE",WR,126,7.41
"Travis Kelce TE • KC",TE,126,7.41
"Tony Pollard RB • TEN",RB,125,7.81
"Greg Zuerlein K • NYJ",K,124,7.29
"Mac Jones QB • SF",QB,122,8.71
"Andy Dalton QB • PHI",QB,122,8.71
"Matt Gay K • LV",K,122,7.18
"Greg Joseph K • LV",K,122,7.18
"Jason Sanders K • NYJ",K,121,7.12
"Chase McLaughlin K • TB",K,120,7.50
"Saquon Barkley RB • PHI",RB,117,7.31
"Brandon McManus K • GB",K,117,6.88
"Ka'imi Fairbairn K • HOU",K,117,6.88
"Evan McPherson K • CIN",K,117,7.31
"Jimmy Garoppolo QB • LAR",QB,116,10.55
"Jake Elliott K • PHI",K,116,7.25
"Eagles DST • PHI",DST,116,6.82
"Miles Sanders RB • DAL",RB,112,6.59
"49ers DST • SF",DST,112,6.59
"Cowboys DST • DAL",DST,112,6.59
"Cade York K • NYJ",K,111,6.53
"CeeDee Lamb WR • DAL",WR,107,6.29
"Mike Badgley K • BUF",K,107,8.23
"Jacoby Brissett QB • ARI",QB,106,6.62
"Jaylen Waddle WR • DEN",WR,106,6.24
"Wil Lutz K • DEN",K,106,6.24
"Joey Slye K • TEN",K,103,6.06
"Kenneth Walker III RB • KC",RB,101,6.73
"Amari Cooper WR • LV",WR,100,5.88
"Ja'Marr Chase WR • CIN",WR,100,8.33
"Jaguars DST • JAC",DST,100,5.88
"Najee Harris RB • LAC",RB,97,5.71
"Bills DST • BUF",DST,96,6.00
"Harrison Butker K • KC",K,95,7.31
"Kenny Pickett QB • CAR",QB,94,7.23
"Cairo Santos K • CHI",K,94,5.88
"Ravens DST • BAL",DST,94,5.53
"Aaron Jones RB • MIN",RB,93,5.47
"Tyler Lockett WR • LV",WR,93,5.81
"Joe Mixon RB • HOU",RB,92,6.57
"Chiefs DST • KC",DST,92,5.41
"George Kittle TE • SF",TE,91,6.07
"Matthew Stafford QB • LAR",QB,90,10.00
"Commanders DST • WAS",DST,90,5.29
"DeVonta Smith WR • PHI",WR,89,5.24
"Seahawks DST • SEA",DST,89,5.24
"Taylor Heinicke QB • LAC",QB,88,9.78
"Matt Prater K • BUF",K,88,6.77
"Cameron Dicker K • LAC",K,87,7.91
"Carson Wentz QB • MIN",QB,86,10.75
"Tee Higgins WR • CIN",WR,85,5.31
"Christian Kirk WR • SF",WR,85,5.00
"Taysom Hill TE • NO",TE,85,5.31
"Chris Boswell K • PIT",K,85,7.08
"Rhamondre Stevenson RB • NE",RB,83,4.88
"Colts DST • IND",DST,83,4.88
"Travis Etienne RB • NO",RB,82,4.82
"Brandon Aiyuk WR • SF",WR,82,4.82
"Saints DST • NO",DST,82,4.82
"James Conner RB • ARI",RB,81,6.23
"Mike Evans WR • SF",WR,81,5.40
