Team,DST_Avg,DST_StdDev,DST_Years,K_Avg,K_StdDev,K_Years,QB_Avg,QB_StdDev,QB_Years,RB_Avg,RB_StdDev,RB_Years,TE_Avg,TE_StdDev,TE_Years,WR_Avg,WR_StdDev,WR_Years
"DONORA DRAGONS",1.67,0,3,1.33,0,3,47,0,3,135.67,0,3,2,0,3,112.33,0,3
"EGYPTIAN MAGICIANS",1.2,0,5,3.4,0,5,19.2,0,5,101.4,0,5,26,0,5,147.8,0,5
"GENERALS",2,0,5,2.6,0,5,64.6,0,5,119.4,0,5,21.8,0,5,84.6,0,5
"HOMERS HEROES",1.2,0,5,1.2,0,5,33.8,0,5,146.8,0,5,8.2,0,5,104.2,0,5
"KENTUCKY FOOTBALL CLUB",1.6,0,5,2.2,0,5,47.8,0,5,133.8,0,5,26.2,0,5,86.8,0,5
"LA LOSERS",1,0,5,2.4,0,5,36.4,0,5,137.6,0,5,2.2,0,5,116.8,0,5
"LEEDS UNITED",1.8,0,5,1,0,5,25.8,0,5,118.6,0,5,8.8,0,5,143.8,0,5
"MASTERS OF DISASTER",1.4,0,5,2,0,5,30.8,0,5,88,0,5,46.6,0,5,130,0,5
"Munich Cowboys",1.6,0,5,1.2,0,5,14.4,0,5,126.4,0,5,18,0,5,136.6,0,5
"RELEGATORS",1.5,0,2,3,0,2,57,0,2,136.5,0,2,6.5,0,2,95.5,0,2
"ROCK STARS",1.8,0,5,1.4,0,5,32.6,0,5,128.8,0,5,26.6,0,5,108.4,0,5
