SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,8,7,1,0.531,939.0,826.0,3
Munich Cowboys,8,8,0,0.500,988.0,945.0,2
Donora Dragons,6,8,2,0.438,987.0,975.0,3.5
Rock Stars,5,11,0,0.312,814.0,961.0,1
LA Losers,4,11,1,0.281,802.0,929.0,0.5
MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Generals,12,2,2,0.812,977.0,809.0,1
Masters of Disaster,10,6,0,0.625,907.0,891.0,1
Egyptian Magicians,9,7,0,0.562,968.0,957.0,2
My hate for you, it grow,9,7,0,0.562,894.0,907.0,1
Kentucky Football Club,6,10,0,0.375,815.0,891.0,1
