MADDEN DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Masters of Disaster,11,5,0,0.688,1225.0,1062.0,5
My hate for you, it grow,10,6,0,0.625,1094.0,1045.0,0
Generals,8,8,0,0.500,949.0,937.0,1
Donora Dragons,7,8,1,0.469,977.0,1029.0,0.5
Kentucky Football Club,6,10,0,0.375,949.0,1017.0,0
SUMMERALL DIVISION
TEAM,W,L,T,PCT,PF,PA,WKS
Leeds United,13,3,0,0.812,1198.0,892.0,5
Rock Stars,8,8,0,0.500,968.0,1053.0,1
Egyptian Magicians,8,8,0,0.500,929.0,1003.0,2
Munich Cowboys,4,11,1,0.281,873.0,1005.0,1
LA Losers,4,12,0,0.250,894.0,1013.0,0.5
